DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
6/1/2012,80,55,57,0.00,0.0,0,-9999,01,0
6/2/2012,71,54,54,0.14,0.0,0,-9999,61,6
6/3/2012,72,54,55,1.05,0.0,0,-9999,53,5
6/4/2012,59,49,49,0.25,0.0,0,-9999,61,6
6/5/2012,52,49,49,0.38,0.0,0,-9999,03,5
6/6/2012,57,48,51,0.16,0.0,0,-9999,80,2
6/7/2012,65,49,52,0.13,0.0,0,-9999,81,2
6/8/2012,70,52,52,0.21,0.0,0,-9999,10,-1
6/9/2012,78,52,55,0.11,0.0,0,-9999,02,1
6/10/2012,76,51,54,0.00,0.0,0,-9999,01,0
6/11/2012,82,52,57,0.00,0.0,0,-9999,03,1
6/12/2012,82,56,63,0.00,0.0,0,-9999,02,1
6/13/2012,77,62,62,0.41,0.0,0,-9999,63,6
6/14/2012,68,58,58,0.49,0.0,0,-9999,03,4
6/15/2012,75,49,50,0.00,0.0,0,-9999,01,0
6/16/2012,75,50,56,0.00,0.0,0,-9999,01,0
6/17/2012,68,45,51,0.00,0.0,0,-9999,01,0
6/18/2012,70,48,54,0.00,0.0,0,-9999,03,2
6/19/2012,70,49,56,0.00,0.0,0,-9999,02,0
6/20/2012,75,56,66,0.00,0.0,0,-9999,02,1
6/21/2012,94,66,76,0.00,0.0,0,-9999,01,0
6/22/2012,93,70,73,0.00,0.0,0,-9999,05,0
6/23/2012,93,66,67,0.00,0.0,0,-9999,03,2
6/24/2012,86,59,64,0.00,0.0,0,-9999,01,0
6/25/2012,83,63,64,0.00,0.0,0,-9999,03,2
6/26/2012,73,58,59,0.68,0.0,0,-9999,03,2
6/27/2012,71,57,59,0,0.0,0,-9999,80,8
6/28/2012,73,58,62,0,0.0,0,-9999,02,2
6/29/2012,80,61,61,0,0.0,0,-9999,03,8
6/30/2012,85,61,68,0.00,0.0,0,-9999,01,0
